,nick,Unnamed: 0,lp
194,akiSaa,-252.0,0
195,aladdjin,-125.0,0
196,ayayayayayayeyer,-83.0,0
197,becca tilts,-121.0,0
198,bertasaurus,-60.0,0
199,binghin,-188.0,0
200,bo4nkiller,-191.0,0
201,bobbyex,-59.0,0
202,bossoskills,-263.0,0
203,brainlaggg95,-22.0,0
204,cant win life,-126.0,0
205,captain kookie,-257.0,0
206,carrotman,-56.0,0
207,casparwu,-11.0,0
208,chainpullz,-116.0,0
209,charIz,-171.0,0
210,cheesytoad,-212.0,0
211,chessmage,-29.0,0
212,chickeneater02,-146.0,0
213,chunkypapa,-238.0,0
214,cmxiaotianshi,-138.0,0
215,cracker plague,-127.0,0
216,daCableguy,-153.0,0
217,dallasyes,-246.0,0
218,deeekayy,-173.0,0
219,dementedgraph,-38.0,0
220,digitalotus,-81.0,0
221,dogdogdog,-97.0,0
222,dontbullme,-203.0,0
223,dpei,-149.0,0
224,egg boy john,-277.0,0
225,emilywang,-129.0,0
226,enaek,-154.0,0
227,eune paid actor,-250.0,0
228,eviljordan,-282.0,0
229,freshveggies03,-99.0,0
230,fsf,-168.0,0
231,gaozi,-70.0,0
232,garet,-73.0,0
233,greyasmo,-276.0,0
234,guba,-91.0,0
235,guubum,-25.0,0
236,guyguyguyjj,-101.0,0
237,hawth0rne,-195.0,0
238,hi im obra,-219.0,0
239,horny and alone,-192.0,0
240,huyg,-87.0,0
241,i like cats 3,-123.0,0
242,iCandyyyy,-289.0,0
243,iCopyKeane,-21.0,0
244,iG DQA,-43.0,0
245,iG Noobowl,-40.0,0
246,iSexyHugoBabyGOD,-254.0,0
247,iiLucky,-53.0,0
248,ilikeike,-140.0,0
249,inikoiniko,-66.0,0
250,iuiuiuiuiu,-265.0,0
251,jdzielinski22,-49.0,0
252,justniice,-114.0,0
253,kci,-176.0,0
254,kenya1,-162.0,0
255,khashishi,-264.0,0
256,lil kahuna,-174.0,0
257,mD Bepo,-77.0,0
258,mD PockyGom,-104.0,0
259,mD aer0,-178.0,0
260,mD rue loves you,-182.0,0
261,mD yubin,-118.0,0
262,nEjWanda,-190.0,-17
263,otter popped,-287.0,0
264,papercheeze,-85.0,0
265,plumbum,-20.0,0
266,poisonpirate,-93.0,0
267,prine2,-33.0,0
268,pyrirer,-115.0,0
269,radsrad,-102.0,0
270,rayditz,-157.0,0
271,robivankenob,-147.0,0
272,shalec,-243.0,0
273,slinkge,-236.0,0
274,soobydooo,-142.0,-47
275,soup eater,-165.0,0
276,sponcyy,-259.0,0
277,ssaamm,-271.0,0
278,ssenilenoL,-94.0,0
279,staralfur12,-113.0,0
280,stzRazer,-207.0,0
281,swellboy ,-281.0,0
282,sètsuko,-1.0,0
283,tdays,-164.0,0
284,tran98huy,-55.0,0
285,trikpi,-226.0,0
286,ttv p1vaaa,-200.0,0
287,uwudamndaniel,-110.0,0
288,vx dl875792007,-52.0,0
289,xReddi,-245.0,0
290,xiao dian dian,-19.0,0
291,xiaoheQ,-62.0,0
292,yungkev,-183.0,0
293,zhü,-124.0,0
294,Áion,-284.0,0
295,Âzarin,-119.0,0
